"id","waterpurifier_name","price","original_price","rating","filtration_capacity"
0,"Aqua Fresh EPICAQUA ADJUSTER India 1st BIS (IS 16240 :2023) CM/L8100159306 15 L RO + UV + UF + ATDS Wa...","3,990","16,500","4","Filtration Capacity: 12 L/hr"
1,"Kinsco Aqua Punch 15 L RO + UV + UF + Copper + TDS Control Water Purifier with Prefilter","3,999","20,000","4.2","Filtration Capacity: 15 L/hr"
2,"Aqua Fresh MINERAL POT BLUE 16 L Gravity Based Water Purifier","918","2,999","3.8","N/A"
3,"Aqua Fresh Smoke Audi 18 ltr drink pure India 1st BIS (IS 16240 :2023) CM/L8100159306 18 L RO + UV + U...","3,999","16,500","4.1","Filtration Capacity: 18 L/hr"
4,"LIVPURE LIV-PEP-PRO-STAR. 7 L RO + UV + UF + Minerals Water Purifier Suitable for all - Borewell, Tank...","8,299","16,490","4.3","1 Year Manufacturer Domestic Warranty"
5,"Kinsco Aqua Punch+ Zinc Copper and Alkaline 15 L RO + UV + UF + Copper Guard + pH enhancer Water Purif...","3,999","20,000","4.2","Filtration Capacity: 15 L/hr"
6,"KENT Ace 8 L RO + UV + UF + TDS Water Purifier Suitable for all - Borewell, Tanker, Municipality Water","12,345","19,500","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
7,"KENT ACE - B 8 L RO + UV + UF + TDS Water Purifier Suitable for all - Borewell, Tanker, Municipality W...","12,649","22,000","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase with 3 Years Extended Service without Any Charges"
8,"MarQ by Flipkart Innopure UV without RO 12 L UV + UF + Minerals + Copper Water Purifier","2,599","8,599","3.8","1 Year Manufacturer Domestic Warranty on SMPS only & Service/Visit charges applicable"
9,"Aquaguard Delight NXT Lite 6 L RO + MC Water Purifier | 6-Stage Purification with 2-in-1 Mineral Charg...","5,999","13,000","4.1","Filtration Capacity: 15 L/hr"
10,"KENT Ace Extra/ Ace Alkaline 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier Sui...","15,299","21,000","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
11,"Aqua Frisch Storm Black Copper with Orp+Alkaline+Ro+Uf+Tds Adjuster+Antioxidant 12 L RO Water Purifier...","3,999","20,000","4","Filtration Capacity: 15 L/hr"
